Gene Symbol,Gene Ontology Biological Process,Gene Ontology Cellular Component,Gene Ontology Molecular Function,Pathway
PTHLH,0001501 // skeletal system development // inferred from direct assay /// 0001501 // skeletal system development // inferred from electronic annotation /// 0001958 // endochondral ossification // inferred from electronic annotation /// 0002076 // osteoblast development // inferred from electronic annotation /// 0007186 // G-protein coupled receptor protein signaling pathway // not recorded /// 0007189 // activation of adenylate cyclase activity by G-protein signaling pathway // inferred from direct assay /// 0007189 // activation of adenylate cyclase activity by G-protein signaling pathway // inferred from electronic annotation /// 0007267 // cell-cell signaling // traceable author statement /// 0007492 // endoderm development // inferred from electronic annotation /// 0007565 // female pregnancy // traceable author statement /// 0008284 // positive regulation of cell proliferation // traceable author statement /// 0008284 // positive regulation of cell proliferation // inferred from electronic annotation /// 0008285 // negative regulation of cell proliferation // traceable author statement /// 0008544 // epidermis development // traceable author statement /// 0010468 // regulation of gene expression // inferred from direct assay /// 0016485 // protein processing // inferred from electronic annotation /// 0030819 // positive regulation of cAMP biosynthetic process // inferred from direct assay /// 0030855 // epithelial cell differentiation // inferred from electronic annotation /// 0032331 // negative regulation of chondrocyte differentiation // inferred from direct assay /// 0032331 // negative regulation of chondrocyte differentiation // inferred from electronic annotation /// 0043129 // surfactant homeostasis // inferred from electronic annotation /// 0043433 // negative regulation of transcription factor activity // inferred from electronic annotation /// 0046058 // cAMP metabolic process // traceable author statement /// 0048286 // lung alveolus development // inferred from electronic annotation /// 0060649 // mammary gland bud elongation // inferred from electronic annotation /// 0060659 // nipple sheath formation // inferred from electronic annotation,0005576 // extracellular region // inferred from electronic annotation /// 0005615 // extracellular space // traceable author statement /// 0005622 // intracellular // inferred from electronic annotation /// 0005634 // nucleus // inferred from electronic annotation /// 0005737 // cytoplasm // inferred from electronic annotation /// 0005737 // cytoplasm // traceable author statement,0005179 // hormone activity // inferred from electronic annotation /// 0005179 // hormone activity // traceable author statement,---
C20orf134,---,---,0005515 // protein binding // inferred from electronic annotation,---
PPAT,0006164 // purine nucleotide biosynthetic process // inferred from electronic annotation /// 0006164 // purine nucleotide biosynthetic process // traceable author statement /// 0006189 // 'de novo' IMP biosynthetic process // not recorded /// 0006541 // glutamine metabolic process // inferred from electronic annotation /// 0008152 // metabolic process // inferred from electronic annotation /// 0009113 // purine base biosynthetic process // inferred from electronic annotation /// 0009116 // nucleoside metabolic process // inferred from electronic annotation,---,"0004044 // amidophosphoribosyltransferase activity // inferred from electronic annotation /// 0004044 // amidophosphoribosyltransferase activity // traceable author statement /// 0016740 // transferase activity // inferred from electronic annotation /// 0016757 // transferase activity, transferring glycosyl groups // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation /// 0051536 // iron-sulfur cluster binding // inferred from electronic annotation /// 0051539 // 4 iron, 4 sulfur cluster binding // inferred from electronic annotation",---
SESN3,0007050 // cell cycle arrest // inferred from electronic annotation,0005634 // nucleus // inferred from electronic annotation,---,---
C1orf125,---,---,---,---
CD207,---,0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation /// 0030139 // endocytic vesicle // traceable author statement,0005488 // binding // inferred from electronic annotation /// 0005529 // sugar binding // inferred from electronic annotation /// 0005537 // mannose binding // traceable author statement,---
CRISP1,0007342 // fusion of sperm to egg plasma membrane // traceable author statement,0005576 // extracellular region // inferred from electronic annotation /// 0005615 // extracellular space // traceable author statement,---,---
PRRG3,---,0005576 // extracellular region // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // non-traceable author statement /// 0016021 // integral to membrane // inferred from electronic annotation,0005509 // calcium ion binding // inferred from electronic annotation,---
FBXO11,0006464 // protein modification process // inferred from direct assay /// 0006511 // ubiquitin-dependent protein catabolic process // non-traceable author statement /// 0007605 // sensory perception of sound // inferred from electronic annotation /// 0016567 // protein ubiquitination // non-traceable author statement,0000151 // ubiquitin ligase complex // non-traceable author statement /// 0005634 // nucleus // inferred from direct assay /// 0005634 // nucleus // inferred from electronic annotation /// 0005737 // cytoplasm // inferred from direct assay,0004842 // ubiquitin-protein ligase activity // non-traceable author statement /// 0004842 // ubiquitin-protein ligase activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0008469 // histone-arginine N-methyltransferase activity // inferred from direct assay /// 0035244 // peptidyl-arginine C-methyltransferase activity // inferred from direct assay /// 0046872 // metal ion binding // inferred from electronic annotation,---
C19orf71,---,---,---,---
RIMBP2,---,0005886 // plasma membrane // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0030054 // cell junction // inferred from electronic annotation /// 0045202 // synapse // inferred from electronic annotation,---,---
GPR12,0006874 // cellular calcium ion homeostasis // inferred from electronic annotation /// 0007165 // signal transduction // inferred from electronic annotation /// 0007186 // G-protein coupled receptor protein signaling pathway // inferred from electronic annotation /// 0007186 // G-protein coupled receptor protein signaling pathway // traceable author statement,0005886 // plasma membrane // inferred from electronic annotation /// 0005887 // integral to plasma membrane // traceable author statement /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation,0001619 // lysosphingolipid and lysophosphatidic acid receptor activity // inferred from electronic annotation /// 0004871 // signal transducer activity // inferred from electronic annotation /// 0004872 // receptor activity // inferred from electronic annotation /// 0004930 // G-protein coupled receptor activity // inferred from electronic annotation /// 0004930 // G-protein coupled receptor activity // traceable author statement,---
